tier,scene,scene_name,algo,psnr_db,ssim,consistency,score,time_s
public,sample_00,scene_00,score_mri_v7,28.4103,0.8558,0.9183,0.7101,15.33
public,sample_00,scene_00,score_mri_v8,28.9749,0.8611,0.921,0.7184,16.72
public,sample_01,scene_01,score_mri_v7,29.8782,0.8761,0.9207,0.7334,14.39
public,sample_01,scene_01,score_mri_v8,30.224,0.8819,0.9226,0.7395,16.64
public,sample_02,scene_02,score_mri_v7,29.5693,0.8829,0.927,0.7343,14.43
public,sample_02,scene_02,score_mri_v8,29.8206,0.8876,0.9251,0.7383,17.0
