tier,scene,scene_name,algo,psnr_db,ssim,consistency,score,time_s
public,sample_00,scene_00,hybrid_cascade_plus,28.6532,0.656,0.9998,0.5777,26.42
public,sample_01,scene_01,hybrid_cascade_plus,29.977,0.6786,0.9998,0.6044,23.21
public,sample_02,scene_02,hybrid_cascade_plus,29.3298,0.6744,0.9998,0.5941,23.93
