Method,Scenario I (PSNR),Scenario II (PSNR),Scenario III (PSNR),Scenario I (SSIM),Scenario II (SSIM),Scenario III (SSIM),Gap I-II,Gap II-III
GAP-TV,24.34+/-1.90,20.96+/-1.62,21.72+/-1.48,0.7229+/-0.0876,0.6119+/-0.0842,0.6879+/-0.0834,3.38,0.76
PnP-HSICNN,25.12+/-1.88,20.40+/-1.71,23.08+/-1.52,0.7582+/-0.0819,0.5739+/-0.0914,0.7022+/-0.0788,4.72,2.68
HDNet,34.66+/-2.62,21.88+/-1.72,21.88+/-1.72,0.9695+/-0.0090,0.7563+/-0.0739,0.7563+/-0.0739,12.77,0.00
MST-L,34.81+/-2.11,20.83+/-2.01,27.33+/-1.86,0.9730+/-0.0086,0.7440+/-0.0685,0.8813+/-0.0347,-0.34,-0.14
