tier,scene,scene_name,algo,psnr_db,ssim,consistency,score,time_s
public,sample_00,scene_00,score_mri_v7,28.4103,0.8558,0.9183,0.7101,15.28
public,sample_00,scene_00,score_mri_sirt_tv,30.464,0.8721,0.9206,0.7376,6.67
public,sample_01,scene_01,score_mri_v7,29.8782,0.8761,0.9207,0.7334,14.32
public,sample_01,scene_01,score_mri_sirt_tv,32.0934,0.8986,0.9239,0.7652,6.69
public,sample_02,scene_02,score_mri_v7,29.5693,0.8829,0.927,0.7343,14.35
public,sample_02,scene_02,score_mri_sirt_tv,31.5133,0.9002,0.9204,0.7593,6.71
